Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,Sh/90,SoT/90,G/SoT,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Compl,Subs,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Market Value,Market Value Euros
852,zinedine ferhat,dz ALG,FW,Angers,fr Ligue 1,31,1993,15,4,517,5.7,2,0,2,2,0,0,1,0,1.4,1.4,1.7,3.0,12,26,45,0.35,0.53,852,dz ALG,FW,fr Ligue 1,31-360,1993,5.7,2,12,5,2.09,0.87,0.4,2,0,0,1.4,1.4,0.6,0.6,852,dz ALG,FW,fr Ligue 1,31-360,1993,5.7,187,281,66.5,2956,962,0,1.7,1.5,-1.7,10,12,8,2,26,852,dz ALG,FW,fr Ligue 1,31-360,1993,5.7,281,243,34,9,3,2,40,5,20,4,12,2,187,4,5,852,dz ALG,FW,fr Ligue 1,31-360,1993,5.7,21,3.66,15,4,1,1,0,0,1,0.17,852,dz ALG,FW,fr Ligue 1,31-360,1993,5.7,4,2,0,2,2,6,16.7,5,8,0,8,6,10,7,0,852,dz ALG,FW,fr Ligue 1,31-360,1993,5.7,344,5,29,157,162,16,344,12,7,58.3,3,25.0,199,1017,399,12,8,4,13,10,242,45,1056,dz ALG,FW,fr Ligue 1,31-360,1993,15,517,34,25.0,5.7,4,1,11,2,1.13,8,10,-2,-0.35,0.0,10.4,8.0,2.5,0.43,852,dz ALG,FW,fr Ligue 1,31-360,1993,5.7,1,0,0,9,11,2,40,6,2,0,0,0,32,10,10,50.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200000
853,bruno fernandes,pt POR,MF,Manchester Utd,eng Premier League,30,1994,25,25,2105,23.4,6,6,12,3,3,3,4,2,8.0,5.6,5.5,11.1,52,210,105,0.38,0.57,853,pt POR,MF,eng Premier League,30-169,1994,23.4,6,65,17,2.78,0.73,0.18,9,3,3,8.0,5.6,-2.0,-2.6,853,pt POR,MF,eng Premier League,30-169,1994,23.4,1150,1543,74.5,19917,6922,6,5.5,5.0,0.5,55,139,49,8,210,853,pt POR,MF,eng Premier League,30-169,1994,23.4,1543,1372,159,67,17,13,132,14,62,33,13,3,1150,12,35,853,pt POR,MF,eng Premier League,30-169,1994,23.4,123,5.26,84,22,4,6,6,1,9,0.38,853,pt POR,MF,eng Premier League,30-169,1994,23.4,57,34,15,30,12,55,40.0,33,22,2,20,20,77,26,2,853,pt POR,MF,eng Premier League,30-169,1994,23.4,1818,38,274,870,691,62,1815,48,19,39.6,24,50.0,1054,4907,2563,52,44,8,29,26,1296,105,1057,pt POR,MF,eng Premier League,30-169,1994,25,2105,84,90.0,23.4,25,20,0,0,1.2,30,30,0,0.0,2.68,33.7,34.5,-0.8,-0.03,853,pt POR,MF,eng Premier League,30-169,1994,23.4,4,2,1,21,29,2,132,20,34,0,0,0,134,17,23,42.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,55000000
854,edimilson fernandes,ch SUI,MF,Brest,fr Ligue 1,28,1996,14,9,804,8.9,0,1,1,0,0,0,1,0,0.3,0.3,0.5,0.9,3,27,1,0.11,0.1,854,ch SUI,MF,fr Ligue 1,28-315,1996,8.9,0,8,2,0.9,0.22,0.0,0,0,0,0.3,0.3,-0.3,-0.3,854,ch SUI,MF,fr Ligue 1,28-315,1996,8.9,348,403,86.4,6117,1308,1,0.5,0.3,0.5,6,26,1,0,27,854,ch SUI,MF,fr Ligue 1,28-315,1996,8.9,403,399,4,4,1,3,3,0,0,0,0,0,348,0,3,854,ch SUI,MF,fr Ligue 1,28-315,1996,8.9,13,1.46,9,0,0,1,2,1,1,0.11,854,ch SUI,MF,fr Ligue 1,28-315,1996,8.9,8,6,2,6,0,10,60.0,4,11,4,7,17,25,24,1,854,ch SUI,MF,fr Ligue 1,28-315,1996,8.9,489,27,136,295,62,7,489,3,2,66.7,1,33.3,276,1674,607,3,6,0,14,8,323,1,1058,ch SUI,MF,fr Ligue 1,28-315,1996,14,804,57,38.8,8.9,9,5,5,4,1.43,17,18,-1,-0.11,0.03,12.1,15.5,-3.4,-0.38,854,ch SUI,MF,fr Ligue 1,28-315,1996,8.9,1,0,0,7,6,0,3,17,6,0,1,0,52,11,8,57.9,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500000
855,mateus fernandes,pt POR,MF,Southampton,eng Premier League,20,2004,24,22,1916,21.3,1,2,3,1,0,0,7,0,3.1,3.1,2.0,5.1,56,97,68,0.14,0.24,855,pt POR,MF,eng Premier League,20-229,2004,21.3,1,27,10,1.27,0.47,0.1,3,0,0,3.1,3.1,-2.1,-2.1,855,pt POR,MF,eng Premier League,20-229,2004,21.3,738,932,79.2,12551,3028,2,2.0,2.6,0.0,24,60,14,3,97,855,pt POR,MF,eng Premier League,20-229,2004,21.3,932,811,120,42,8,5,84,7,44,31,12,0,738,1,24,855,pt POR,MF,eng Premier League,20-229,2004,21.3,54,2.54,32,11,3,5,2,1,5,0.23,855,pt POR,MF,eng Premier League,20-229,2004,21.3,61,34,31,19,11,46,43.5,26,29,3,26,13,74,23,4,855,pt POR,MF,eng Premier League,20-229,2004,21.3,1190,45,256,579,379,38,1190,79,37,46.8,35,44.3,601,3862,2076,56,47,8,35,23,732,68,1060,pt POR,MF,eng Premier League,20-229,2004,24,1916,80,81.9,21.3,22,12,2,0,0.38,19,44,-25,-1.17,2.43,20.6,47.4,-26.8,-1.26,855,pt POR,MF,eng Premier League,20-229,2004,21.3,7,0,0,32,35,3,84,13,34,0,0,0,115,11,9,55.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,15000000
860,matias fernandezpardo,be BEL,FW,Lille,fr Ligue 1,20,2005,12,5,451,5.0,1,1,2,1,0,0,3,0,0.2,0.2,1.1,1.3,24,10,37,0.4,0.26,860,be BEL,FW,fr Ligue 1,20-021,2005,5.0,1,4,2,0.8,0.4,0.5,0,0,0,0.2,0.2,0.8,0.8,860,be BEL,FW,fr Ligue 1,20-021,2005,5.0,96,132,72.7,1476,308,1,1.1,0.7,-0.1,6,4,4,0,10,860,be BEL,FW,fr Ligue 1,20-021,2005,5.0,132,124,7,2,1,1,11,0,5,4,0,0,96,1,4,860,be BEL,FW,fr Ligue 1,20-021,2005,5.0,11,2.2,8,2,0,0,1,0,3,0.6,860,be BEL,FW,fr Ligue 1,20-021,2005,5.0,6,4,3,3,0,8,50.0,4,5,0,5,1,7,4,0,860,be BEL,FW,fr Ligue 1,20-021,2005,5.0,194,5,24,68,107,20,194,32,14,43.8,16,50.0,128,1200,677,24,13,14,11,6,141,37,1071,be BEL,FW,fr Ligue 1,20-021,2005,12,451,38,21.8,5.0,5,0,7,3,1.75,9,5,4,0.8,0.19,9.0,6.2,2.8,0.55,860,be BEL,FW,fr Ligue 1,20-021,2005,5.0,3,0,0,7,12,0,11,1,4,1,0,0,13,0,8,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000000
861,jordan ferri,fr FRA,MF,Montpellier,fr Ligue 1,32,1992,16,12,1073,11.9,0,1,1,0,0,0,4,1,0.3,0.3,0.5,0.8,8,85,23,0.08,0.07,861,fr FRA,MF,fr Ligue 1,32-349,1992,11.9,0,11,2,0.92,0.17,0.0,0,0,0,0.3,0.3,-0.3,-0.3,861,fr FRA,MF,fr Ligue 1,32-349,1992,11.9,643,728,88.3,11565,3067,1,0.5,0.9,0.5,8,66,4,3,85,861,fr FRA,MF,fr Ligue 1,32-349,1992,11.9,728,693,33,23,0,3,13,10,0,0,0,0,643,2,5,861,fr FRA,MF,fr Ligue 1,32-349,1992,11.9,28,2.35,25,0,0,2,1,0,4,0.34,861,fr FRA,MF,fr Ligue 1,32-349,1992,11.9,28,13,13,14,1,22,50.0,11,9,1,8,8,36,13,0,861,fr FRA,MF,fr Ligue 1,32-349,1992,11.9,832,18,181,508,151,9,832,12,2,16.7,7,58.3,461,2137,905,8,7,0,6,18,610,23,1074,fr FRA,MF,fr Ligue 1,32-349,1992,16,1073,67,51.8,11.9,12,5,4,0,0.38,9,28,-19,-1.59,-0.33,12.9,20.5,-7.6,-0.64,861,fr FRA,MF,fr Ligue 1,32-349,1992,11.9,4,1,0,18,15,0,13,8,13,0,1,0,80,9,10,47.4,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,3500000
862,daniel fila,cz CZE,FW,Venezia,it Serie A,22,2002,3,2,149,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,5,12,0.0,0.09,862,cz CZE,FW,it Serie A,22-187,2002,1.7,0,2,1,1.21,0.6,0.0,0,0,0,0.1,0.1,-0.1,-0.1,862,cz CZE,FW,it Serie A,22-187,2002,1.7,27,32,84.4,337,78,0,0.0,0.1,0.0,2,3,3,0,5,862,cz CZE,FW,it Serie A,22-187,2002,1.7,32,30,2,0,0,0,0,0,0,0,0,0,27,0,0,862,cz CZE,FW,it Serie A,22-187,2002,1.7,8,4.83,5,0,1,1,1,0,0,0.0,862,cz CZE,FW,it Serie A,22-187,2002,1.7,1,0,0,0,1,1,0.0,1,3,0,3,0,1,1,0,862,cz CZE,FW,it Serie A,22-187,2002,1.7,50,1,2,26,23,4,50,1,1,100.0,0,0.0,34,185,57,2,2,0,7,5,38,12,1075,cz CZE,FW,it Serie A,22-187,2002,3,149,50,6.4,1.7,2,0,1,0,0.33,0,1,-1,-0.6,0.14,1.3,2.5,-1.2,-0.71,862,cz CZE,FW,it Serie A,22-187,2002,1.7,1,0,0,5,2,1,0,0,0,0,0,0,2,0,7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200000
863,karol fila,pl POL,MF,Strasbourg,fr Ligue 1,26,1998,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,863,pl POL,MF,fr Ligue 1,26-256,1998,0.1,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,863,pl POL,MF,fr Ligue 1,26-256,1998,0.1,2,4,50.0,18,0,0,0.0,0.0,0.0,0,0,0,0,0,863,pl POL,MF,fr Ligue 1,26-256,1998,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,863,pl POL,MF,fr Ligue 1,26-256,1998,0.1,0,0.0,0,0,0,0,0,0,0,0.0,863,pl POL,MF,fr Ligue 1,26-256,1998,0.1,0,0,0,0,0,0,50.0,0,0,0,0,0,0,0,0,863,pl POL,MF,fr Ligue 1,26-256,1998,0.1,4,0,2,2,0,0,4,0,0,46.2,0,42.9,1,1,1,0,0,0,0,0,2,0,1076,pl POL,MF,fr Ligue 1,26-256,1998,1,5,5,0.2,0.1,0,0,1,1,1.0,0,0,0,0.0,-0.22,0.2,0.0,0.2,4.06,863,pl POL,MF,fr Ligue 1,26-256,1998,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46.7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600000
864,kilian fischer,de GER,DF,Wolfsburg,de Bundesliga,24,2000,22,20,1591,17.7,0,0,0,0,0,0,5,0,0.2,0.2,0.3,0.5,30,58,48,0.0,0.03,864,de GER,DF,de Bundesliga,24-135,2000,17.7,0,4,0,0.23,0.0,0.0,0,0,0,0.2,0.2,-0.2,-0.2,864,de GER,DF,de Bundesliga,24-135,2000,17.7,608,794,76.6,10397,3261,0,0.3,0.6,-0.3,7,42,12,2,58,864,de GER,DF,de Bundesliga,24-135,2000,17.7,794,605,188,8,0,2,21,180,0,0,0,0,608,1,17,864,de GER,DF,de Bundesliga,24-135,2000,17.7,21,1.19,17,2,0,1,0,1,1,0.06,864,de GER,DF,de Bundesliga,24-135,2000,17.7,46,30,36,6,4,66,51.5,32,32,5,27,14,60,67,2,864,de GER,DF,de Bundesliga,24-135,2000,17.7,1001,59,341,442,226,15,1001,18,8,44.4,10,55.6,431,2369,1086,30,20,4,23,7,485,48,1078,de GER,DF,de Bundesliga,24-135,2000,22,1591,72,76.9,17.7,20,8,2,0,1.5,31,30,1,0.06,-1.45,21.6,28.3,-6.8,-0.38,864,de GER,DF,de Bundesliga,24-135,2000,17.7,5,0,0,23,3,0,21,14,30,0,0,0,48,14,15,48.3,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000000
865,mark flekken,nl NED,GK,Brentford,eng Premier League,31,1993,25,25,2195,24.4,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.04,0.01,865,nl NED,GK,eng Premier League,31-256,1993,24.4,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,865,nl NED,GK,eng Premier League,31-256,1993,24.4,874,1186,73.7,25105,16807,1,0.2,0.1,0.8,2,33,2,0,0,865,nl NED,GK,eng Premier League,31-256,1993,24.4,1186,960,220,90,0,5,0,0,0,0,0,0,874,6,0,865,nl NED,GK,eng Premier League,31-256,1993,24.4,6,0.25,3,3,0,0,0,0,1,0.04,865,nl NED,GK,eng Premier League,31-256,1993,24.4,2,2,2,0,0,6,16.7,5,1,0,1,0,2,21,3,865,nl NED,GK,eng Premier League,31-256,1993,24.4,1266,992,1232,39,0,0,1266,1,1,100.0,0,0.0,787,3942,2200,0,0,0,2,0,728,0,1080,nl NED,GK,eng Premier League,31-256,1993,25,2195,88,93.8,24.4,25,24,0,0,1.48,47,40,7,0.29,1.53,38.5,39.3,-0.8,-0.03,865,nl NED,GK,eng Premier League,31-256,1993,24.4,1,0,0,0,3,0,0,0,2,0,0,0,31,4,0,100.0,42.0,nl NED,GK,eng Premier League,31-256,1993.0,25.0,25.0,2195.0,24.4,40.0,1.64,148.0,109.0,73.6,11.0,4.0,10.0,4.0,16.0,1.0,1.0,0.0,0.0,42.0,nl NED,GK,eng Premier League,31-256,1993.0,24.4,40.0,1.0,0.0,2.0,1.0,39.0,0.26,0.0,0.0,158.0,427.0,37.0,1050.0,82.0,32.6,33.9,412.0,31.0,7.5,26.0,1.07,11.7,10000.0,10000000
866,mateo flores,es ESP,MF,Betis,es La Liga,20,2004,5,1,142,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,2,0.0,0.0,866,es ESP,MF,es La Liga,20-323,2004,1.6,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,866,es ESP,MF,es La Liga,20-323,2004,1.6,47,59,79.7,794,217,0,0.0,0.0,0.0,0,3,1,1,7,866,es ESP,MF,es La Liga,20-323,2004,1.6,59,58,1,1,0,0,1,0,0,0,0,0,47,0,2,866,es ESP,MF,es La Liga,20-323,2004,1.6,1,0.63,1,0,0,0,0,0,0,0.0,866,es ESP,MF,es La Liga,20-323,2004,1.6,3,1,3,0,0,1,100.0,0,1,0,1,2,5,3,0,866,es ESP,MF,es La Liga,20-323,2004,1.6,74,4,24,41,9,1,74,0,0,46.2,0,42.9,40,151,41,0,0,0,3,3,44,2,1082,es ESP,MF,es La Liga,20-323,2004,5,142,28,6.3,1.6,1,0,4,11,0.8,2,3,-1,-0.63,-0.68,3.8,2.1,1.8,1.12,866,es ESP,MF,es La Liga,20-323,2004,1.6,1,0,0,3,1,0,1,2,1,0,0,0,10,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250000
867,phil foden,eng ENG,"MF,FW",Manchester City,eng Premier League,24,2000,21,17,1529,17.0,7,2,9,7,0,0,2,0,4.7,4.7,4.4,9.1,42,90,108,0.53,0.54,867,eng ENG,"MF,FW",eng Premier League,24-272,2000,17.0,7,49,16,2.88,0.94,0.44,2,0,0,4.7,4.7,2.3,2.3,867,eng ENG,"MF,FW",eng Premier League,24-272,2000,17.0,697,821,84.9,10899,2367,2,4.4,5.0,-2.4,38,39,34,5,90,867,eng ENG,"MF,FW",eng Premier League,24-272,2000,17.0,821,745,73,19,7,2,68,4,40,26,7,0,697,3,22,867,eng ENG,"MF,FW",eng Premier League,24-272,2000,17.0,75,4.41,49,17,2,5,2,0,9,0.53,867,eng ENG,"MF,FW",eng Premier League,24-272,2000,17.0,9,3,3,3,3,16,37.5,10,10,1,9,9,18,7,1,867,eng ENG,"MF,FW",eng Premier League,24-272,2000,17.0,995,12,71,344,589,72,995,36,13,36.1,18,50.0,627,3219,1538,42,27,13,33,27,778,108,1083,eng ENG,"MF,FW",eng Premier League,24-272,2000,21,1529,73,65.3,17.0,17,10,4,1,1.48,30,24,6,0.35,-0.65,28.7,26.5,2.2,0.13,867,eng ENG,"MF,FW",eng Premier League,24-272,2000,17.0,2,0,0,5,27,3,68,9,3,0,0,0,54,3,7,30.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,140000000
868,malick fofana,be BEL,FW,Lyon,fr Ligue 1,19,2005,21,11,1113,12.4,3,4,7,3,0,0,1,0,2.8,2.8,2.5,5.2,71,36,134,0.57,0.42,868,be BEL,FW,fr Ligue 1,19-330,2005,12.4,3,23,12,1.86,0.97,0.25,0,0,0,2.8,2.8,0.2,0.2,868,be BEL,FW,fr Ligue 1,19-330,2005,12.4,337,441,76.4,4767,1110,4,2.5,2.9,1.5,14,19,22,10,36,868,be BEL,FW,fr Ligue 1,19-330,2005,12.4,441,429,11,1,1,0,48,10,0,0,0,0,337,1,23,868,be BEL,FW,fr Ligue 1,19-330,2005,12.4,34,2.75,26,0,3,1,4,0,7,0.57,868,be BEL,FW,fr Ligue 1,19-330,2005,12.4,15,8,6,8,1,14,50.0,7,8,0,8,8,23,6,0,868,be BEL,FW,fr Ligue 1,19-330,2005,12.4,579,5,61,213,321,67,579,42,17,40.5,22,52.4,393,2980,1822,71,38,25,26,12,441,134,1085,be BEL,FW,fr Ligue 1,19-330,2005,21,1113,53,53.8,12.4,11,3,10,0,1.67,25,13,12,0.97,0.97,23.2,16.4,6.8,0.55,868,be BEL,FW,fr Ligue 1,19-330,2005,12.4,1,0,0,7,24,5,48,8,8,1,0,0,44,2,8,20.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,25000000
869,seko fofana,ci CIV,MF,Rennes,fr Ligue 1,29,1995,7,3,377,4.2,0,1,1,0,0,0,2,0,0.6,0.6,0.7,1.3,18,37,19,0.24,0.32,869,ci CIV,MF,fr Ligue 1,29-293,1995,4.2,0,11,2,2.63,0.48,0.0,0,0,0,0.6,0.6,-0.6,-0.6,869,ci CIV,MF,fr Ligue 1,29-293,1995,4.2,225,252,89.3,3511,953,1,0.7,0.7,0.3,10,26,7,2,37,869,ci CIV,MF,fr Ligue 1,29-293,1995,4.2,252,246,5,4,1,5,4,1,0,0,0,0,225,1,0,869,ci CIV,MF,fr Ligue 1,29-293,1995,4.2,19,4.54,16,0,0,2,1,0,1,0.24,869,ci CIV,MF,fr Ligue 1,29-293,1995,4.2,7,4,2,5,0,1,0.0,1,3,1,2,4,11,1,0,869,ci CIV,MF,fr Ligue 1,29-293,1995,4.2,293,3,34,160,101,12,293,14,7,50.0,6,42.9,178,1140,606,18,11,1,1,6,234,19,1086,ci CIV,MF,fr Ligue 1,29-293,1995,7,377,54,18.2,4.2,3,2,4,0,0.86,5,8,-3,-0.72,-0.77,7.4,7.4,0.0,0.01,869,ci CIV,MF,fr Ligue 1,29-293,1995,4.2,2,0,0,3,6,1,4,4,4,0,0,0,20,4,2,66.7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,12000000
